price,sqft,bedrooms,bathrooms,location,year_built,condition,predicted_price
495000,1527,2,1.5,Suburb,1956,Good,305224.08
752000,2526,3,2.5,Downtown,1998,Excellent,547508.11
319000,1622,2,1.5,Rural,1975,Fair,304376.83
1210000,3102,4,3.0,Waterfront,2005,Excellent,902837.03
462000,1835,2,2.0,Urban,1982,Good,383833.07
401000,1742,2,1.5,Suburb,1963,Good,328997.69
891000,2950,3,2.5,Downtown,2001,Excellent,754451.55
276000,1422,2,1.0,Rural,1952,Fair,263380.74
527000,2010,3,2.0,Urban,1993,Good,406306.75
338000,1525,2,1.5,Suburb,1965,Fair,306468.15
615000,2230,3,2.0,Downtown,1986,Good,437809.36
298000,1650,2,1.5,Rural,1958,Fair,287269.91
1140000,3050,4,3.5,Waterfront,2003,Excellent,891360.25
482000,1925,3,2.0,Urban,1979,Good,371546.42
425000,1720,2,2.0,Suburb,1970,Good,325242.61
729000,2640,3,2.5,Downtown,1995,Excellent,545359.27
251000,1380,2,1.0,Rural,1948,Poor,249624.87
890000,2890,4,3.0,Mountain,2008,Excellent,754123.04
512000,2030,3,2.0,Urban,1988,Good,406402.70
375000,1620,2,1.5,Suburb,1962,Fair,306162.23
552000,2150,3,2.0,Downtown,1982,Good,416815.46
348000,1750,2,1.5,Rural,1972,Fair,310989.89
492000,1980,3,2.0,Urban,1980,Good,378292.83
440000,1830,3,2.0,Suburb,1975,Good,348996.68
682000,2420,3,2.5,Downtown,1990,Good,447473.57
261000,1450,2,1.0,Rural,1950,Poor,258816.57
1250000,3250,4,3.5,Waterfront,2010,Excellent,912984.38
535000,2080,3,2.5,Urban,1995,Good,413260.71
398000,1680,2,2.0,Suburb,1968,Fair,308417.25
587000,2180,3,2.0,Downtown,1984,Good,425519.95
325000,1720,2,1.5,Rural,1962,Fair,304498.27
1090000,3000,4,3.0,Waterfront,2000,Good,864865.73
502000,1950,3,2.0,Urban,1982,Good,394804.49
420000,1750,2,2.0,Suburb,1972,Good,330711.88
695000,2550,3,2.5,Downtown,1992,Excellent,531646.45
279000,1480,2,1.0,Rural,1953,Fair,267166.73
537000,2050,3,2.0,Urban,1990,Good,411824.51
357000,1580,2,1.5,Suburb,1960,Fair,306162.23
582000,2200,3,2.0,Downtown,1985,Good,425519.95
312000,1680,2,1.5,Rural,1959,Fair,295826.62
1170000,3150,4,3.5,Waterfront,2005,Excellent,903251.20
475000,1920,3,2.0,Urban,1978,Good,371546.42
415000,1720,2,2.0,Suburb,1970,Good,325242.61
748000,2680,3,2.5,Downtown,1997,Excellent,549612.07
249000,1350,2,1.0,Rural,1947,Poor,248130.81
520000,2050,3,2.0,Urban,1990,Good,411824.51
380000,1650,2,1.5,Suburb,1965,Fair,305475.27
620000,2280,3,2.0,Downtown,1988,Good,437809.36
302000,1680,2,1.5,Rural,1960,Fair,302382.86
495000,1950,3,2.0,Urban,1981,Good,378292.83
430000,1780,2,2.0,Suburb,1972,Good,338613.80
710000,2580,3,2.5,Downtown,1993,Excellent,534836.98
258000,1420,2,1.0,Rural,1950,Poor,256453.95
982000,2980,4,3.0,Mountain,2010,Excellent,839418.02
529000,2100,3,2.5,Urban,1992,Good,411458.43
368000,1620,2,1.5,Suburb,1962,Fair,306162.23
595000,2230,3,2.0,Downtown,1986,Good,437809.36
335000,1750,2,1.5,Rural,1968,Fair,313344.76
485000,1940,3,2.0,Urban,1979,Good,378292.83
428000,1760,2,2.0,Suburb,1971,Good,338613.80
675000,2450,3,2.5,Downtown,1991,Good,451973.42
272000,1480,2,1.0,Rural,1952,Poor,267166.73
1220000,3220,4,3.5,Waterfront,2008,Excellent,905539.89
545000,2120,3,2.5,Urban,1997,Good,417278.53
392000,1650,2,2.0,Suburb,1966,Fair,310180.99
575000,2150,3,2.0,Downtown,1983,Good,416815.46
320000,1700,2,1.5,Rural,1961,Fair,302463.71
1120000,3050,4,3.0,Waterfront,2002,Good,879794.04
510000,1980,3,2.0,Urban,1984,Good,394804.49
438000,1820,3,2.0,Suburb,1974,Good,348295.67
730000,2620,3,2.5,Downtown,1994,Excellent,545359.27
264000,1440,2,1.0,Rural,1951,Poor,261021.82
530000,2080,3,2.0,Urban,1991,Good,411824.51
372000,1640,2,1.5,Suburb,1963,Fair,305475.27
592000,2220,3,2.0,Downtown,1985,Good,437809.36
328000,1730,2,1.5,Rural,1965,Fair,307275.80
1190000,3170,4,3.5,Waterfront,2006,Excellent,903251.20
