price,sqft,bedrooms,bathrooms,location,year_built,condition,predicted_price
495000,1527,2,1.5,Suburb,1956,Good,485591.07
752000,2526,3,2.5,Downtown,1998,Excellent,289696.66
319000,1622,2,1.5,Rural,1975,Fair,388917.94
1210000,3102,4,3.0,Waterfront,2005,Excellent,150181.57
462000,1835,2,2.0,Urban,1982,Good,458987.77
401000,1742,2,1.5,Suburb,1963,Good,423760.86
891000,2950,3,2.5,Downtown,2001,Excellent,147120.46
276000,1422,2,1.0,Rural,1952,Fair,400759.62
527000,2010,3,2.0,Urban,1993,Good,393703.45
338000,1525,2,1.5,Suburb,1965,Fair,473275.27
615000,2230,3,2.0,Downtown,1986,Good,346929.74
298000,1650,2,1.5,Rural,1958,Fair,346647.15
1140000,3050,4,3.5,Waterfront,2003,Excellent,155794.02
482000,1925,3,2.0,Urban,1979,Good,396689.20
425000,1720,2,2.0,Suburb,1970,Good,442952.72
729000,2640,3,2.5,Downtown,1995,Excellent,244090.33
251000,1380,2,1.0,Rural,1948,Poor,392383.33
890000,2890,4,3.0,Mountain,2008,Excellent,117539.84
512000,2030,3,2.0,Urban,1988,Good,377155.79
375000,1620,2,1.5,Suburb,1962,Fair,434314.79
552000,2150,3,2.0,Downtown,1982,Good,367270.64
348000,1750,2,1.5,Rural,1972,Fair,338414.67
492000,1980,3,2.0,Urban,1980,Good,379361.62
440000,1830,3,2.0,Suburb,1975,Good,388941.76
682000,2420,3,2.5,Downtown,1990,Good,284631.52
261000,1450,2,1.0,Rural,1950,Poor,371719.43
1250000,3250,4,3.5,Waterfront,2010,Excellent,99210.53
535000,2080,3,2.5,Urban,1995,Good,369558.22
398000,1680,2,2.0,Suburb,1968,Fair,422914.15
587000,2180,3,2.0,Downtown,1984,Good,360598.00
325000,1720,2,1.5,Rural,1962,Fair,329804.06
1090000,3000,4,3.0,Waterfront,2000,Good,149448.52
502000,1950,3,2.0,Urban,1982,Good,393675.88
420000,1750,2,2.0,Suburb,1972,Good,436280.08
695000,2550,3,2.5,Downtown,1992,Excellent,269839.46
279000,1480,2,1.0,Rural,1953,Fair,382382.70
537000,2050,3,2.0,Urban,1990,Good,373980.97
357000,1580,2,1.5,Suburb,1960,Fair,444485.25
582000,2200,3,2.0,Downtown,1985,Good,355512.78
312000,1680,2,1.5,Rural,1959,Fair,338064.11
1170000,3150,4,3.5,Waterfront,2005,Excellent,124636.67
475000,1920,3,2.0,Urban,1978,Good,396527.71
415000,1720,2,2.0,Suburb,1970,Good,442952.72
748000,2680,3,2.5,Downtown,1997,Excellent,233919.88
249000,1350,2,1.0,Rural,1947,Poor,400966.38
520000,2050,3,2.0,Urban,1990,Good,373980.97
380000,1650,2,1.5,Suburb,1965,Fair,429552.56
620000,2280,3,2.0,Downtown,1988,Good,333261.47
302000,1680,2,1.5,Rural,1960,Fair,339974.51
495000,1950,3,2.0,Urban,1981,Good,391765.48
430000,1780,2,2.0,Suburb,1972,Good,425786.63
710000,2580,3,2.5,Downtown,1993,Excellent,261256.42
258000,1420,2,1.0,Rural,1950,Poor,382212.88
982000,2980,4,3.0,Mountain,2010,Excellent,89880.31
529000,2100,3,2.5,Urban,1992,Good,356831.37
368000,1620,2,1.5,Suburb,1962,Fair,434314.79
595000,2230,3,2.0,Downtown,1986,Good,346929.74
335000,1750,2,1.5,Rural,1968,Fair,330773.05
485000,1940,3,2.0,Urban,1979,Good,391442.48
428000,1760,2,2.0,Suburb,1971,Good,430871.86
675000,2450,3,2.5,Downtown,1991,Good,276048.48
272000,1480,2,1.0,Rural,1952,Poor,365046.79
1220000,3220,4,3.5,Waterfront,2008,Excellent,105883.17
545000,2120,3,2.5,Urban,1997,Good,359387.77
392000,1650,2,2.0,Suburb,1966,Fair,429586.79
575000,2150,3,2.0,Downtown,1983,Good,369181.05
320000,1700,2,1.5,Rural,1961,Fair,334889.28
1120000,3050,4,3.0,Waterfront,2002,Good,135780.26
510000,1980,3,2.0,Urban,1984,Good,387003.24
438000,1820,3,2.0,Suburb,1974,Good,390529.17
730000,2620,3,2.5,Downtown,1994,Excellent,249175.56
264000,1440,2,1.0,Rural,1951,Poor,377127.65
530000,2080,3,2.0,Urban,1991,Good,365397.93
372000,1640,2,1.5,Suburb,1963,Fair,429229.57
592000,2220,3,2.0,Downtown,1985,Good,348517.15
328000,1730,2,1.5,Rural,1965,Fair,332037.46
1190000,3170,4,3.5,Waterfront,2006,Excellent,119551.44
